"","gwid","statename","from","to","group","groupid","gwgroupid","umbrella","size","status","reg_aut"
"1",70,"Mexico",1946,1974,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"2",70,"Mexico",1946,1974,"Other indigenous groups",3000,7003000,NA,0.142,"DISCRIMINATED","false"
"3",70,"Mexico",1946,1974,"Afromexicans",9000,7009000,NA,0.05,"DISCRIMINATED","false"
"4",70,"Mexico",1946,1974,"Maya",2000,7002000,NA,0.007,"DISCRIMINATED","false"
"5",70,"Mexico",1975,1997,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"6",70,"Mexico",1975,1997,"Other indigenous groups",3000,7003000,NA,0.142,"POWERLESS","false"
"7",70,"Mexico",1975,1997,"Afromexicans",9000,7009000,NA,0.05,"IRRELEVANT",""
"8",70,"Mexico",1975,1997,"Maya",2000,7002000,NA,0.007,"POWERLESS","false"
"9",70,"Mexico",1998,2016,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"10",70,"Mexico",1998,2016,"Other indigenous groups",3000,7003000,NA,0.142,"POWERLESS","false"
"11",70,"Mexico",1998,2016,"Afromexicans",9000,7009000,NA,0.05,"POWERLESS","false"
"12",70,"Mexico",1998,2016,"Maya",2000,7002000,NA,0.007,"SELF-EXCLUSION","true"
"13",70,"Mexico",2017,2021,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"14",70,"Mexico",2017,2021,"Other indigenous groups",3000,7003000,NA,0.142,"POWERLESS","false"
"15",70,"Mexico",2017,2021,"Afromexicans",9000,7009000,NA,0.05,"POWERLESS","false"
"16",70,"Mexico",2017,2021,"Maya",2000,7002000,NA,0.007,"POWERLESS","true"
"17",850,"Indonesia",1946,1949,"Javanese",8000,85008000,NA,0.45,"IRRELEVANT",""
"18",850,"Indonesia",1950,1958,"Javanese",8000,85008000,NA,0.45,"DOMINANT",""
"19",850,"Indonesia",1950,1958,"Sundanese",14000,85014000,NA,0.13,"POWERLESS","true"
"20",850,"Indonesia",1950,1958,"Madura",9000,85009000,NA,0.05,"POWERLESS","true"
"21",850,"Indonesia",1950,1958,"Minangkabaus",12000,85012000,NA,0.03,"POWERLESS","true"
"22",850,"Indonesia",1950,1958,"Bataks",4000,85004000,NA,0.02,"POWERLESS","true"
"23",850,"Indonesia",1950,1958,"Chinese (Han)",5000,85005000,NA,0.02,"DISCRIMINATED","false"
"24",850,"Indonesia",1950,1958,"Dayak",16000,85016000,NA,0.015,"POWERLESS","true"
